univNameCn,univNameEn,univTags,univCategory,province,score,ranking
西安科技大学,Xi'an University of Science and Technology,,理工,陕西,183.5,179
集美大学,Jimei University,,综合,福建,183.3,180
南昌航空大学,Nanchang Hangkong University,,理工,江西,183.1,181
青海大学,Qinghai University,双一流 211,综合,青海,182.4,182
石家庄铁道大学,Shijiazhuang Tiedao University,,理工,河北,182.4,182
安徽理工大学,Anhui University of Science and Technology,,理工,安徽,181.4,184
延边大学,Yanbian University,双一流 211,综合,吉林,181.1,185
浙江海洋大学,Zhejiang Ocean University,,农业,浙江,179.4,186
上海电力大学,Shanghai University of Electric Power,,理工,上海,179.2,187
中北大学,North University of China,,理工,山西,178.9,188
西藏大学,Tibet University,双一流 211,综合,西藏,177.8,189
重庆交通大学,Chongqing Jiaotong University,,理工,重庆,177.5,190
河北农业大学,Hebei Agricultural University,,农业,河北,177.5,190
湖南科技大学,Hunan University of Science and Technology,,综合,湖南,177.2,192
云南师范大学,Yunnan Normal University,,师范,云南,176.9,193
天津理工大学,Tianjin University of Technology,,理工,天津,176.8,194
哈尔滨师范大学,Harbin Normal University,,师范,黑龙江,176.0,195
河南工业大学,Henan University of Technology,,理工,河南,175.9,196
天津科技大学,Tianjin University of Science and Technology,,理工,天津,175.6,197
南华大学,University of South China,,综合,湖南,175.5,198
内蒙古农业大学,Inner Mongolia Agricultural University,,农业,内蒙古,175.5,198
四川师范大学,Sichuan Normal University,,师范,四川,175.4,200
哈尔滨理工大学,Harbin University of Science and Technology,,理工,黑龙江,174.9,201
北京信息科技大学,Beijing Information Science & Technology University,,理工,北京,174.8,202
西南科技大学,Southwest University of Science and Technology,,理工,四川,174.2,203
烟台大学,Yantai University,,综合,山东,173.4,204
武汉纺织大学,Wuhan Textile University,,理工,湖北,173.2,205
华东交通大学,East China Jiaotong University,,理工,江西,173.1,206
重庆师范大学,Chongqing Normal University,,师范,重庆,172.5,207
江西农业大学,Jiangxi Agricultural University,,农业,江西,171.8,208
鲁东大学,Ludong University,,综合,山东,170.9,209
沈阳工业大学,Shenyang University of Technology,,理工,辽宁,170.7,210
东华理工大学,East China University of Technology,,理工,江西,170.2,211
兰州理工大学,Lanzhou University of Technology,,理工,甘肃,169.7,212
青岛农业大学,Qingdao Agricultural University,,农业,山东,169.5,213
上海工程技术大学,Shanghai University of Engineering Science,,理工,上海,169.3,214
东北石油大学,Northeast Petroleum University,,理工,黑龙江,169.2,215
郑州轻工业大学,Zhengzhou University of Light Industry,,理工,河南,169.2,215
青岛理工大学,Qingdao University of Technology,,理工,山东,168.7,217
北京电子科技学院,Beijing Electronic Science and Technology Institute,,理工,北京,168.6,218
湖州师范学院,Huzhou University,,师范,浙江,168.1,219
沈阳师范大学,Shenyang Normal University,,师范,辽宁,167.7,220
