打印次数,发货小包装数量,发货金额,发货毛重,发货体积,发货大包装数量,调整单对应的原单,代垫费用应收金额,WMS系统实际拣货数量,发货单WMS系统锁定库存优先级,折扣金额,provience,time
1,10220,6938.6,157.38,37.22,41.0,194487347,0.0,0,5,0.0,湖南,2020-01-05 10:31:41
1,16,10.88,0.48666667,0.02666667,0.06666667,194406677,0.0,0,5,0.0,湖南,2020-01-03 14:43:15
2,60,3933.94,298.8,0.5632632,15.0,194334959,0.0,60,5,0.0,湖南,2020-01-02 00:00:00
1,2234,30844.09,293.637,5.33166502,51.575,194496836,0.0,0,5,0.0,湖南,2020-01-05 00:00:00
1,83,740.86,21.52033333,0.06494633,6.48333333,194547671,0.0,0,5,0.0,湖南,2020-01-06 00:00:00
1,547,2318.4,48.13857143,1.29011429,20.27142857,194475290,0.0,547,5,0.0,湖南,2020-01-05 00:00:00
0,1,88.0,0.336,0.003,1.0,194510384,0.0,0,5,0.0,湖南,2020-01-05 00:00:00
0,6,2218.0,0.1038,0.012,6.0,194510388,0.0,0,5,1150.0,湖南,2020-01-05 00:00:00
1,545,2795.0,127.3,9.045,14.0,194531949,0.0,0,5,0.0,湖南,2020-01-06 00:00:00
0,1,140.25,0.003,0.001,1.0,194532013,0.0,0,5,0.0,湖南,2020-01-06 11:13:23
0,36,7014.99,32.4,0.107406,3.0,194541891,0.0,0,5,0.0,湖南,2020-01-06 13:49:08
0,357,69160.63,4.29,0.523,357.0,194547232,0.0,0,5,0.0,湖南,2020-01-05 00:00:00
1,2000,1414.4,80.8002,8.08001,9.1,194386660,0.0,0,5,0.0,湖南,2020-01-03 09:45:34
1,6,1699.32,7.35,0.02352,1.0,194422797,0.0,6,5,0.0,湖南,2020-01-03 00:00:00
1,120,23764.2,128.25,2.3982025,20.0,194422809,0.0,120,5,0.0,湖南,2020-01-03 00:00:00
1,36,7914.12,39.67,1.1100775,6.0,194422819,0.0,36,5,0.0,湖南,2020-01-03 00:00:00
1,6,1157.28,5.65,0.0210125,1.0,194448961,0.0,6,5,0.0,湖南,2020-01-04 00:00:00
1,30,7879.5,37.42,1.09408,5.0,194422827,0.0,30,5,0.0,湖南,2020-01-03 00:00:00
2,168,35472.54,193.8,1.6297775,28.0,194422842,0.0,168,5,0.0,湖南,2020-01-03 00:00:00
1,790,2451.0,259.84,1.3678,67.0,194391583,0.0,0,5,0.0,湖南,2020-01-03 00:00:00
1,150,612.5,47.42,0.1026,10.0,194457819,0.0,0,5,0.0,湖南,2020-01-04 00:00:00
1,1402,8067.06,349.845,7.38329652,68.85,194496132,0.0,1402,5,0.0,湖南,2020-01-05 00:00:00
1,96,499.2,14.02,0.0643,3.0,194514195,0.0,96,5,0.0,湖南,2020-01-06 00:00:00
1,805,4086.02,96.221,0.98613602,29.8,194456022,0.0,805,5,0.0,湖南,2020-01-05 00:00:00
1,430,9586.0,212.83666667,1.24668,35.83333333,194462040,0.0,430,1,0.0,湖南,2020-01-05 00:00:00
1,683,3905.62,120.6234,0.78663216,26.5,194467040,0.0,683,5,0.0,湖南,2020-01-05 00:00:00
0,7,2946.0,0.17,0.017,7.0,194588405,0.0,0,5,840.0,湖南,2020-01-06 00:00:00
